NCT Number,Study Title,Brief Summary,Adjuvant Name
NCT00003638,Vaccine Therapy in Treating Women With Metastatic Breast Cancer,"RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Vaccines may make the body build an immune response to kill tumor cells. It is not yet known whether THERATOPE vaccine therapy is more effective than standard vaccine therapy in treating metastatic breast cancer.

PURPOSE: Randomized double blinded phase III trial to compare the effectiveness of THERATOPE vaccine therapy with that of standard vaccine therapy in treating women who have metastatic breast cancer.",Detox-B adjuvant
NCT00001512,Active Specific Immunotherapy for Follicular Lymphomas With Tumor-Derived Immunoglobulin Idiotype Antigen Vaccines,"The idiotype of the immunoglobulin on a given B cell malignancy (Id) can serve as a clonal marker, and a previous pilot study in lymphoma patients has demonstrated that autologous Id protein can be formulated into an immunogenic, tumor specific antigen by conjugation to a carrier protein (KLH) and administration with an emulsion-based adjuvant. The goals of vaccine development in the current study are to develop vaccines: 1) with improved potency and 2) which are more effective at inducing cell-mediated immune responses. The selection of GM-CSF as the immunological ""adjuvant"" is a direct extension of our laboratory studies in small animal models demonstrating that GM-CSF can enhance the potency of the prototype Id-KLH vaccine by augmenting almost exclusively the cellular arm of the immune response.

The objectives of this study are: 1) to evaluate cellular and humoral immune responses against the unique idiotype of the patient's lymphoma and 2) to evaluate the ability of the Id vaccine to clear the bone marrow of malignant cells detectable by pathologic examination or molecular examination (polymerase chain reaction amplification of the rearranged bcl-2 oncogene).

The goal of this study is to treat previously untreated patients with follicular lymphomas to complete remission or minimal residual disease with ProMACE chemotherapy. Three to six months after completion of chemotherapy, in an effort to reduce the relapse rate (by eradicating microscopic disease resistant to chemotherapy), patients will receive an autologous Id vaccine administered in combination with GM-CSF. Id-KLH (0.5 mg) is administered subcutaneously. GM-CSF is administered subcutaneously locally with the vaccine on the day of vaccination and for the three consecutive days following vaccination as close to the initial vaccination site as possible at one of two doses (patients are randomized to either a high or low dose, 500 or 100 micrograms/m2).

We plan to accrue 42 patients. Twenty-nine patients have been enrolled. Sixteen patients have entered and/or completed the vaccination phase. Patients have demonstrated significant lymphoproliferative responses specific for autologous idiotype of a magnitude which is significantly greater than previously observed.",GM-CSF
NCT02721043,Safety and Immunogenicity of Personalized Genomic Vaccine to Treat Malignancies,"The purpose of this study is to test the safety, tolerability, and immunogenicity of Personalized Genomic Vaccine 001 (PGV001) in subjects with advanced non-hematologic malignancies. PGV001 is a peptide vaccine that is based on a patient's own tumor sequence. Each patient's tumor is sequenced and peptides that correspond to the tumors are made. These peptides combined with the adjuvant Poly-ICLC (Hiltonol®, Oncovir) make PGV001. The adjuvant Poly-ICLC is added to boost the immune response to the peptides and together will expand immune cells to target cancer.",Poly-ICLC
NCT00091039,"Vaccine Therapy, Chemotherapy, and Radiation Therapy in Treating Patients With Stage III Non-Small Cell Lung Cancer That Cannot Be Removed With Surgery","RATIONALE: Vaccines made from a gene-modified virus may make the body build an immune response to kill tumor cells. Drugs used in chemotherapy, such as paclitaxel and carboplatin, work in different ways to stop tumor cells from dividing so they stop growing or die. Radiation therapy uses high energy x-rays to damage tumor cells. Combining vaccine therapy with chemotherapy and radiation therapy may kill more tumor cells.

PURPOSE: This clinical trial is studying how well giving vaccine therapy together with paclitaxel, carboplatin, and radiation therapy works in treating patients with stage III non-small cell lung cancer that cannot be removed with surgery.",GM-CSF
NCT00295958,LMB-2 Immunotoxin and Vaccine Therapy in Treating Patients With Metastatic Melanoma That Cannot Be Removed By Surgery,"RATIONALE: The LMB-2 immunotoxin can find tumor cells and kill them without harming normal cells. Vaccines made from peptides may help the body build an effective immune response to kill tumor cells. Giving LMB-2 immunotoxin together with vaccine therapy may kill more tumor cells.

PURPOSE: This phase II trial is studying how well giving LMB-2 immunotoxin together with vaccine therapy works in treating patients with metastatic melanoma that cannot be removed by surgery.",Incomplete Freund's adjuvant
NCT01241162,Decitabine Followed by a Cancer Antigen Vaccine for Patients With Neuroblastoma and Sarcoma,"This treatment study for relapsed high-risk neuroblastoma, Ewings sarcoma, osteogenic sarcoma, rhabdomyosarcoma or synovial sarcoma involves an autologous cancer testis (CT) antigen specific dendritic cell (DC) vaccine preceded by decitabine as a demethylating chemotherapy.",other
NCT00785122,IMA910 Plus GM-CSF With Low-dose Cyclophosphamide Pre-treatment in Advanced Colorectal Carcinoma Patients Following a Successful 12 Week First-line Treatment With Oxaliplatin-based Chemotherapy (IMA910-101),"This study is being conducted in order determine whether IMA910 as single agent with GM-CSF as adjuvant following pre-treatment with low-dose cyclophosphamide is safe and shows sufficient anti-tumour effectiveness in patients with advanced CRC to warrant further development. Secondary objectives of this study are investigation of immunological parameters and additional effectiveness endpoints. Furthermore, safety, immunological parameters and effectiveness of IMA910 as single agent with GM-CSF in combination with imiquimod following pre-treatment with low-dose cyclophosphamide will be investigated in a 2nd cohort of patients.

The regular study duration for individual patients in the 1st and 2nd cohort comprises regularly 18-42 days of screening (excluding HLA-typing), 33 weeks of treatment (16 vaccinations) and 4 weeks follow-up. Thus, the period between start of screening and end of trial is about 10 months per patient. Patients will be followed for response to subsequent treatments (chemotherapies with or without targeted agents) and survival every 2 months after EOS visit until death.

Patients in the 1st and 2nd cohort will be withdrawn from study treatment once a progress according to RECIST is noted. An enrolment plan for the first 6 patients included into the 1st cohort will be part of this study to ensure maximum safety of the study participants. The enrollment of the first 6 patients into the 2nd cohort will also follow an enrolment plan to ensure maximum safety.",GM-CSF
NCT00091273,Vaccine Therapy in Treating Patients With Ovarian Epithelial or Primary Peritoneal Cancer,"RATIONALE: Vaccines made from peptides may make the body build an immune response to kill tumor cells.

PURPOSE: This phase I trial is studying the side effects of vaccine therapy in treating patients with ovarian epithelial or primary peritoneal cancer.",Incomplete Freund's adjuvant
NCT02897765,"A Personal Cancer Vaccine (NEO-PV-01) w/ Nivolumab for Patients With Melanoma, Lung Cancer or Bladder Cancer",The purpose of this study is to evaluate if the treatment with NEO-PV-01 + adjuvant in combination with nivolumab is safe and useful for patients with certain types of cancer. The study also will investigate if NEO-PV-01 + adjuvant with nivolumab may represent a substantial improvement over other available therapies such as nivolumab alone. All eligible patients will receive NEO-PV-01 + adjuvant and nivolumab while on this trial.,other
NCT00079157,Vaccine Plus Montanide ISA-51 and Sargramostim in Treating Patients With Stage IV Breast Cancer,"RATIONALE: Vaccines may make the body build an immune response to kill tumor cells. Giving a vaccine with Montanide ISA-51 and sargramostim may cause a stronger immune response and kill more tumor cells.

PURPOSE: This phase I trial is studying the side effects and best dose of vaccine therapy when given together with Montanide ISA-51 and sargramostim in treating patients with stage IV breast cancer.",Incomplete Freund's adjuvant
NCT02151448,αDC1 Vaccine + Chemokine Modulatory Regimen (CKM) as Adjuvant Treatment of Peritoneal Surface Malignancies,"This trial is to determine the safest dose of a triple combination (chemokine modulatory regimen or CKM) of celecoxib, interferon alfa (IFN), and rintatolimod that can be given with a DC vaccine as treatment of peritoneal surface malignancies after standard of care surgery.

The first phase of this study will determine the safest dose of IFN that can be given in combination with celecoxib and rintatolimod along with a DC vaccine. The doses of celecoxib (400 mg) and rintatolimod (200 mg) will be consistent while the dose of IFN will be increased (5, 10, or 20 MU/m2) as participants are enrolled to the trial. The high dose of IFN in combination with celecoxib and rintatolimod will be used for the next phase of the clinical trial. After surgery, participants will receive 2 cycles of the investigational treatment.

The second phase of this study will test if the investigational treatment has any effects on peritoneal surface malignancies. The doses of the combination determined in the first phase will be used in this phase of the clinical trial. After surgery, participants will receive 2 cycles of the investigational treatment, followed by standard chemotherapy as determined by their oncologist, and then 2 more cycles of the investigational treatment.",Interferon Alfa-2b
NCT01978964,Phase 1b Maintenance Therapy Study of ONT-10 in Patients With Solid Tumors,"This is an open label phase 1b maintenance therapy study to evaluate the long-term safety, immunogenicity, and anti-tumor effects of repeat-dose vaccination with ONT-10 in patients who have demonstrated safety and clinical benefit on the original ONT-10-001 phase 1 study.",PET Lipid A
NCT00471471,Vaccine Therapy in Treating Patients With Recurrent Stage III or Stage IV Melanoma That Cannot Be Removed by Surgery,"RATIONALE: Vaccines made from peptides may help the body build an effective immune response to kill tumor cells. Giving vaccine therapy together with GM-CSF, CpG 7909, and incomplete Freund's adjuvant may make a stronger immune response and kill more tumor cells.

PURPOSE: This clinical trial is studying the side effects and how well vaccine therapy works in treating patients with recurrent stage III or stage IV melanoma that cannot be removed by surgery.",GM-CSF
NCT00952692,Study to Assess dHER2+AS15 Cancer Vaccine Given in Combination With Lapatinib to Patients With Metastatic Breast Cancer,"This is a phase I/II study to determine the safety and gain insight into the immune response of the immunologic agent dHER2+AS15 ASCI when administered in combination with lapatinib. This study is for patients with metastatic breast cancer (invasive breast cancer with stage IV disease) that overexpresses HER2 and is resistant to trastuzumab (Herceptin).

The dHER2 + AS15 candidate Antigen-Specific Cancer Immunotherapeutic (ASCI) contains a recombinant protein termed dHER2, which is a truncated version of the HER2 protein. HER2 is a protein that is commonly overexpressed in breast cancer. This protein is combined with the immunological adjuvant AS15 Adjuvant System from GSK (GlaxoSmithKline), which is a liposomal formulation containing three immunostimulatory components.

Lapatinib is FDA approved for use in combination with capecitabine for the treatment of subjects with advanced or metastatic breast cancer whose tumors overexpress HER2.",AS15
NCT00036933,Vaccine Therapy Plus QS21 in Treating Patients With Prostate Cancer,"RATIONALE: Vaccines may make the body build an immune response to kill tumor cells. Biological therapies such as QS21 use different ways to stimulate the immune system and stop cancer cells from growing. Combining vaccine therapy with QS21 may kill more tumor cells.

PURPOSE: Phase II trial to study the effectiveness of combining vaccine therapy with QS21 in treating patients who have prostate cancer.",QS21
NCT00857545,"OPT-821 With or Without Vaccine Therapy in Treating Patients With Ovarian Epithelial Cancer, Fallopian Tube Cancer, or Peritoneal Cancer in Second or Third Complete Remission","This randomized phase II trial studies OPT-821 and vaccine therapy to see how well they work compared with OPT-821 alone in treating patients with ovarian epithelial cancer, fallopian tube cancer, or peritoneal cancer that has decreased or disappeared, but the cancer may still be in the body. Biological therapies, such as OPT-821, may stimulate the immune system in different ways and stop tumor cells from growing. Vaccines may help the body build an effective immune response to kill tumor cells. It is not yet known whether OPT-821 is more effective with or without vaccine therapy in treating patients with ovarian epithelial cancer, fallopian tube cancer, or peritoneal cancer.",OPT-821 adjuvant
NCT01556789,Phase 1 Study of ONT-10 in Patients With Solid Tumors,"Open label, two part, Phase 1 dose escalation study to evaluate the safety and immunogenicity of repeat dose vaccination with ONT-10 in patients with previously treated Stage 3 or 4 solid tumors. Part 1 to evaluate escalating dose levels of ONT-10 administered subcutaneously every two weeks (Q2W) or weekly (QW) over 8 weeks. Part 2 evaluates the safety, immunogenicity, and potential anti-tumor activity of ONT-10 administered over 8 weeks at the Q2W and QW maximum tolerated does/recommended dose (MTD/RD) in cohorts of 15 patients each.",PET Lipid A
NCT01390064,Vaccination of High Risk Breast Cancer Patients,Objective - Determine the safety and tolerability of a peptide mimotope-based vaccine upon immunization of breast cancer subjects.,Montanide ISA51
NCT00020254,Vaccine Therapy Plus Sargramostim and Interleukin-2 Compared With Nilutamide Alone in Treating Patients With Prostate Cancer,"RATIONALE: Vaccines made from prostate cancer cells may make the body build an immune response to kill tumor cells. Colony-stimulating factors such as sargramostim may increase the number of immune cells found in bone marrow or peripheral blood. Interleukin-2 may stimulate a person's white blood cells to kill prostate cancer cells. Androgens can stimulate the growth of prostate cancer cells. Hormone therapy using nilutamide may fight prostate cancer by reducing the production of androgens. It is not yet known which treatment regimen is more effective for treating prostate cancer.

PURPOSE: Randomized phase II trial to compare the effectiveness of vaccine therapy plus sargramostim and interleukin-2 with that of nilutamide alone in treating patients who have prostate cancer that has not responded to hormone therapy.",IL-2
NCT00433745,Wilm's Tumor 1 (WT1) Peptide Vaccine for High Risk Hematologic Malignancy,"This study will determine the safety and effectiveness of an experimental vaccine in controlling the abnormal growth of cells in patients with myelodysplastic syndrome (MDS, also known as myelodysplasia), acute myeloid leukemia (AML), acute lymphoblastic leukemia (ALL), and chronic myeloid leukemia (CML). It will test whether the vaccine can increase the number of immune cells responding to the cancer and thereby slow progression of the illness, improve blood counts, reduce the need for transfusions of blood and platelets, or even achieve a disease remission. The vaccine contains part of a protein that is produced in large amounts by cells of patients with these cancers and an added substance called Montanide that helps the immune system respond to the vaccine. Sargramostim, another substances that boosts the immune response, is also given.

Patients 18 to 85 years of age with MDS, AML, ALL or CML may be eligible for this study. Candidates are screened with a medical history, physical examination, blood tests, chest x-ray and bone marrow biopsy. Women of childbearing age also have a pregnancy test.

Participants undergo the following:

* Chemotherapy entering the study.
* Leukapheresis to collect large amounts of white blood cells for infusion before vaccine administration.
* Participants may need placement of a central line (plastic tube, or catheter) in the upper part of the chest to be used for giving chemotherapy, blood or platelet transfusions, antibiotics and white blood cells, and for collecting blood samples.
* Weekly vaccine injections for nine weeks, given in the upper arm, upper leg or abdomen.
* Sargramostim injections following each vaccination.
* Standard of care treatment for MDS, AML, ALL or CML, which may include blood or platelet transfusions, growth factors, and drugs to control underlying disease and potential side effects of the vaccine.
* Weekly safety monitoring, including vital signs check, brief health assessment, blood tests and observation after the vaccination, on the day of each vaccination.
* Follow-up evaluations with blood tests and chest x-ray 3 weeks after the last vaccine dose and with blood tests and bone marrow biopsy 7 weeks after the last vaccine dose.",Incomplete Freund's adjuvant
NCT00293423,GP96 Heat Shock Protein-Peptide Complex Vaccine in Treating Patients With Recurrent or Progressive Glioma,"Vaccines made from a person's tumor cells, such as gp96 heat shock protein-peptide complex, may help the body build an effective immune response to kill tumor cells. This phase I/II trial is studying the side effects and best dose of gp96 heat shock protein-peptide complex vaccine to see how well it works in treating patients with recurrent or progressive high-grade glioma over time.",GP96
NCT01222221,"Vaccine Therapy, Temozolomide, and Radiation Therapy in Treating Patients With Newly Diagnosed Glioblastoma Multiforme","RATIONALE: Vaccines made from peptides may help the body build an effective immune response to kill tumor cells. Drugs used in chemotherapy, such as temozolomide, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Radiation therapy uses high-energy x-rays to kill tumor cells. Giving vaccine therapy together with temozolomide and radiation therapy may kill more tumor cells.

PURPOSE: This phase I trial is studying the side effects of vaccine therapy when given together with temozolomide and radiation therapy in treating patients with newly diagnosed glioblastoma multiforme.",Poly-ICLC
NCT00019929,Vaccine Therapy in Treating Patients With Stage III Non-Small Cell Lung Cancer,"RATIONALE: Vaccines may make the body build an immune response to kill tumor cells.

PURPOSE: This phase II trial is studying vaccine therapy given after standard therapy to see how well it works in treating patients with stage III non-small cell lung cancer.",Poly-ICLC
NCT03380871,A Personal Cancer Vaccine (NEO-PV-01) With Pembrolizumab and Chemotherapy for Patients With Lung Cancer,"The purpose of this study is to find out if treatment with NEO-PV-01 in combination with pembrolizumab and chemotherapy (pembrolizumab/chemotherapy) is safe and useful for patients with lung cancer. The study also will assess if the NEO-PV-01 vaccine, when given together with pembrolizumab and chemotherapy, can improve your response compared with pembrolizumab and chemotherapy treatment alone. All eligible patients will receive NEO-PV-01 + Adjuvant, pembrolizumab and chemotherapy while on this trial.",other
NCT00004156,Vaccine Therapy in Treating Patients With Breast Cancer,RATIONALE: Vaccines may make the body build an immune response to kill tumor cells.,QS21
NCT03391232,PolyPEPI1018 Vaccine and CDx for the Treatment of Metastatic Colorectal Cancer (OBERTO),"Phase I/II clinical trial investigates the safety, tolerability, immunogenicity and preliminary efficacy of multiple doses of PolyPEPI1018 CRC vaccine as an add-on treatment to the standard-of-care maintenance therapy in patients with metastatic colorectal cancer. Clinical responses will be evaluated by indiction of T cell responses, T lymphocyte infiltration in accessible biopsy sites, and by objective tumor responses. This study will also explore the accuracy of the predicted T cell responses in each patient using the candidate companion diagnostic test and the correlations between clinical responses and predicted T cell responses.",Poly-ICLC
NCT00028431,Novel Adjuvants for Peptide-Based Melanoma Vaccines,"This is a study to determine the efficacy of a melanoma vaccine chemotherapy cocktail composed of CTLA-4 antibody; tyrosinase, gp100, and MART-1 peptides; and incomplete Freund's adjuvant (IFA) with or without interleukin-12 in patients with resected stage III or IV melanoma.",Incomplete Freund's adjuvant
NCT00773097,Study of the MUC1 Peptide-Poly-ICLC Adjuvant Vaccine in Individuals With Advanced Colorectal Adenoma,"The purpose of this study is to evaluate the immune response to MUC1 - poly-ICLC vaccine, an investigational or study vaccine. The MUC1 - poly-ICLC vaccine is being tested in persons with a history of advanced adenomatous polyps, the precursor to colorectal cancer. The MUC1 - poly-ICLC vaccine is being developed to prevent polyps from advancing into colon cancer and to prevent polyps from recurring.

MUC1 is mucus that is normally present on the lining of the human colon. However, MUC1 is expressed in a larger amount and in a modified form on adenomatous polyps and colorectal cancer. These changes in MUC1 are thought to be part of the process of progression from adenomas toward cancer. The goal of a vaccine is to help the immune system in the body identify the changes in MUC1 that accompany the progression to cancer and eliminate the abnormal cells that make abnormal MUC1.",Poly-ICLC
NCT02129075,A Vaccine (CDX-1401) With or Without a Biologic Drug (CDX-301) for the Treatment of Patients With Stage IIB-IV Melanoma,"This phase II trial studies the effect of a vaccine called CDX-1401 given with or without a biologic drug called CDX-301 in treating patients with stage IIB-IV melanoma. The cancer vaccine CDX-1401 attaches to a protein that is made in tumor cells. The vaccine helps the body recognize the tumor to fight the cancer. The biologic drug CDX-301 may help the body make more of the tumor fighting cells, known as dendritic cells. Another biologic drug, poly-ICLC, may stimulate the immune system and help these dendritic cells mature so that they can recognize the tumor. Giving CDX-301 may make the immune response to a combination of CDX-1401 and poly-ICLC better.",Poly-ICLC
NCT00005632,Vaccine Therapy Plus QS21 in Treating Patients With Prostate Cancer,"RATIONALE: Vaccines may make the body build an immune response to kill tumor cells. Combining a vaccine with QS21 may kill more tumor cells.

PURPOSE: Phase I trial to study the effectiveness of vaccine therapy plus immune adjuvant QS21 in treating patients who have prostate cancer.",QS21
NCT00300950,"Safety and Efficacy of the Therapeutic Vaccine GI-4000 in Combination With Gemcitabine Versus Placebo for the Treatment of Non-metastatic, Post-resection Pancreas Cancer","The GI-4000 therapeutic vaccine or placebo will be injected under the skin of post-resection, non-metastatic pancreas cancer patients. Patients will be monitored for recurrence as well as safety, and immune responses related to the injections.",GI-4000
NCT01846143,Evaluation of a Multi-phosphopeptide Vaccine Plus PolyICLC in Participants With High Risk and Advanced Malignancies,The purpose of this study is to learn what effects (good and bad) experimental phosphopeptide vaccines plus a tetanus peptide and other substances called polyICLC and Montanide ISA-51 have on people with melanoma. The investigators will also look at whether the experimental reagents cause any changes in the immune system.,Poly-ICLC
NCT00003002,"HER-2/Neu Vaccine Plus GM-CSF in Treating Patients With Stage III or Stage IV Breast, Ovarian, or Non-small Cell Lung Cancer","RATIONALE: Vaccines made from the HER2/neu antigen may make the body build an immune response and kill tumor cells. Colony-stimulating factors such as GM-CSF increase the number of immune cells found in bone marrow or peripheral blood.

PURPOSE: Phase I trial to study the effectiveness of HER-2/neu vaccine plus GM-CSF in treating patients who have stage III or stage IV breast cancer, stage III or stage IV ovarian cancer, or stage III or stage IV non-small cell lung cancer.",GM-CSF
NCT00199836,A Pilot Study of NY-ESO-1b Peptide Plus CpG 7909 and Montanide® ISA-51 in Patients With Cancer.,This cancer vaccine research study involves the injection of the NY-ESO-1b peptide along with 2 other agents to help stimulate the immune system. Peptides are small fragments of protein. NY- ESO-1 peptides are normally found in the testis and the placenta. They have also been found on various types of cancer cells. The purpose is to stimulate the immune system to react against the peptides that are found on cancer cells.,CpG 7909 and Montanide ISA 51
NCT00006041,"Vaccine Therapy in Treating Patients With Ovarian, Fallopian Tube, or Peritoneal Cancer","RATIONALE: Vaccines made from a person's cancer cells may make the body build an immune response to kill the tumor cells.

PURPOSE: Phase I trial to study the effectiveness of vaccine therapy in treating patients who have ovarian, fallopian tube, or peritoneal cancer.",QS21
NCT00008099,Vaccine Therapy in Treating Patients With Resected or Locally Advanced Unresectable Pancreatic Cancer,"RATIONALE: Vaccines may help the body build an effective immune response to kill tumor cells.

PURPOSE: This phase I trial is studying the side effects and best dose of vaccine therapy in treating patients with resected or locally advanced unresectable pancreatic cancer.",other
NCT00616720,Interferon-gamma or Aldesleukin and Vaccine Therapy in Treating Patients With Multiple Myeloma,"RATIONALE: Biological therapies, such as interferon-gamma and aldesleukin, may stimulate the immune system in different ways and stop cancer cells from growing. Vaccines made from a person's white blood cells may help the body build an effective immune response to kill cancer cells. Giving biological therapy together with vaccine therapy may kill more cancer cells.

PURPOSE: This randomized phase II trial is studying how well giving aldesleukin or interferon gamma together with vaccine therapy works in treating patients with multiple myeloma.",recombinant interferon-gamma
NCT00002505,Tumor Cell Vaccine in Treating Patients With Advanced Cancer,"RATIONALE: Vaccines made from the patient's cancer cells may make the body build an immune response and kill their tumor cells.

PURPOSE: Randomized phase II trial to study the effectiveness of autologous tumor cell vaccination plus immunologic adjuvant in treating patients who have metastatic cancer.",recombinant interferon-gamma
NCT03014076,Immunotherapy Vaccine and Herceptin in Breast Cancer,"The purpose of this trial is to determine if combination immunotherapy with HER2/neu GP2 peptide + GM-CSF vaccine and trastuzumab is safe and immunologically effective in treatment of patients with HER2/neu over-expressing breast cancer in the adjuvant setting. While not a primary endpoint, time to recurrence is measured for enrolled subjects. The objectives of the study are the following:

* Assess safety and document local and systemic toxicity to combination immunotherapy with GP2 peptide + GM-CSF vaccine and trastuzumab
* Evaluate the in vitro and in vivo immunologic responses to combination immunotherapy of GP2 peptide + GM-CSF vaccine and trastuzumab
* Determine maximum tolerated dose and optimal biologic dose for the combination immunotherapy of GP2 peptide + GM-CSF vaccine and trastuzumab",GM-CSF
NCT02593227,Folate Receptor Alpha Peptide Vaccine With GM-CSF in Patients With Triple Negative Breast Cancer,"This Phase II trial evaluates the safety and immunogenicity of two doses of the Folate Receptor Alpha (FRα) peptide vaccine mixed with GM-CSF as a vaccine adjuvant, with or without a immune priming with cyclophosphamide, as a consolidation therapy after neoadjuvant or adjuvant treatment of patients with Stage IIb-III triple negative breast cancer (TNBC).",GM-CSF
NCT00001440,Autologous T-Cell Transplantation and the Immunotherapy of Residual Disease in Breast Cancer: Pilot Study of Vaccine-Driven T-Cell Expansion in Patients Treated With Dose-Intensive Chemotherapy,"The ability of chemotherapy to cure cancer, including breast cancer, has been limited by drug resistant residual tumor cells remaining after chemotherapy that generally result in relapse. Additional therapeutic strategies to eradicate these residual tumor cells are needed. The augmentation of specific anti-tumor immune responses, such as those mediated by T-cells, might represent such an additional strategy for the control or elimination of residual tumor cells. This approach might be especially effective if T-cell mediated responses were enhanced during both the period of T-cell repopulation that follows acute T-cell depletion and in the setting of minimal residual tumor burden present after dose intensive chemotherapy. Such chemotherapy is known to result in severe T-cell depletion. This pilot study has been designed to examine the feasibility of combining dose intensive chemotherapy with interventions aimed at the reconstitution of T-cell immunity. Metastatic or adjuvant breast cancer patients who have received dose intensive chemotherapy will subsequently receive a combination of autologous chemotherapy-naive T-cells, a patient-specific tumor antigen vaccine, and recombinant human interleukin-2. These interventions will be assessed for their ability to modulate T-cell number, T-cell function, and T-cell specificity during the period of T-cell repopulation. Such modulation may result in the effective reconstitution of generalized T-cell immunity with the generation of vaccine-specific anti-tumor T-cell responses.",IL-2
NCT00705640,Vaccine Therapy in Treating Patients With Advanced Melanoma,"RATIONALE: Vaccine therapy may help the body build an effective immune response to kill tumor cells.

PURPOSE: This randomized clinical trial is studying how well vaccine therapy works in treating patients with advanced melanoma.",Incomplete Freund's adjuvant
NCT02938442,Vaccination of Triple Negative Breast Cancer Patients,"The purpose of this study is to evaluate a new investigational cancer vaccine, P10s-PADRE in combination with standard neoadjuvant chemotherapy and surgery in patients with clinical stage I, II or III triple negative breast cancer (TNBC). This study will compare the vaccine plus standard neoadjuvant chemotherapy and surgery to standard neoadjuvant chemotherapy and surgery alone.",Montanide ISA51
